sku,product_name,brand
AH6789-801,Tênis Nike Air Max 270 Feminino,Nike
CT1505-001,Tênis Nike Air Zoom Pegasus 37 FC Masculino,Nike
CQ9977-600,Tênis Nike Air Zoom Pegasus 37 PRM Feminino,Nike
CT3316-003,Tênis Nike Air Force 1 React Lx 3M Masculino,Nike
942843-011,Tênis Nike Air Vapormax Flyknit 2 Feminino,Nike
942843-012,Tênis Nike Air Vapormax Flyknit 2 Feminino,Nike
FZ3665,Tênis adidas Nite Jogger Winterized Masculino,adidas
AH3397-013,Tênis Nike Air VaporMax Flyknit Moc Masculino,Nike
942838-101,Tênis Nike Free RN Flyknit 2018 Masculino,Nike
FV6131,Tênis Adidas Top Ten Cloud White,adidas
FV6132,Tênis Adidas Top Ten Core Black,adidas
FY0134,Tênis Adidas Stan Smith X Star Wars,adidas
GW3774,Tênis Adidas Yeezy Boost 350 v2 MX Rock,adidas
GX1331,Tênis Adidas Yeezy Boost QNTM Amber Tint,adidas
GX3606,Tênis Adidas Yeezy 500 Clay Brown,adidas
GX3607,Tênis Adidas Yeezy 500 Ash Grey,adidas
GY3835,Tênis Adidas x Ivy Park Ultraboost OG Acid Orange,adidas
GY4110,Tênis Adidas Yeezy 450 Resin,adidas
GY5368,Tênis Adidas Yeezy 450 Dark Slate,adidas
GZ0472,Tênis Adidas Yeezy Boost 380 Stone Salt,adidas
GZ0473,Tênis Adidas Yeezy Boost 380 Pyrite,adidas
GZ0711,Tênis Adidas Yeezy Boost 700 MNVN Blue Tint,adidas
GZ1072,Tênis Adidas Top Ten Hi ESPN Cream,adidas
GZ2002,Tênis Adidas Yeezy Boost 700 Fade Azure,adidas
GZ3079,Tênis Adidas Yeezy Boost 700 MNVN Bright Cyan,adidas
GZ5989,Tênis Adidas x Disney Stan Smith Groot and Gamora,adidas
GZ7922,Tênis Adidas NMD R1 Core Black,adidas
GZ9257,Tênis Adidas NMD R1 Black Gum,adidas
H00749,Tênis Adidas Forum Mid White Metallic Green,adidas
H01924,Tênis Adidas Forum Low White Black Gum,adidas
